id,word,pos,count
31,relationship,n,11
1116,thinker,n,8
9,result,n,7
21,university,n,7
108,specific,j,7
276,failure,n,7
4,social,j,6
23,experience,n,6
193,challenge,n,6
295,visual,j,6
581,initially,r,6
11,important,j,5
80,resource,n,5
122,example,n,5
139,act,n,5
845,persist,v,5
27,develop,v,4
34,require,v,4
189,result,v,4
445,limitation,n,4
5,provide,v,3
12,process,n,3
24,activity,n,3
25,human,j,3
55,individual,n,3
119,natural,j,3
126,degree,n,3
127,design,n,3
134,task,n,3
137,positive,j,3
150,design,v,3
151,particularly,r,3
155,particular,j,3
187,modern,j,3
200,tradition,n,3
206,tend,v,3
245,encourage,v,3
284,extent,n,3
288,consequence,n,3
296,difficulty,n,3
325,attempt,v,3
515,preference,n,3
2,group,n,2
16,information,n,2
18,change,n,2
22,model,n,2
36,difference,n,2
38,practice,n,2
40,thus,r,2
50,need,n,2
61,science,n,2
66,knowledge,n,2
67,support,n,2
70,response,n,2
72,support,v,2
74,organization,n,2
77,source,n,2
79,cultural,j,2
91,article,n,2
132,pattern,n,2
145,maintain,v,2
156,benefit,n,2
178,critical,j,2
182,improve,v,2
196,aspect,n,2
208,outcome,n,2
225,lack,n,2
243,appropriate,j,2
246,successful,j,2
278,journal,n,2
302,capacity,n,2
312,commitment,n,2
324,depend,v,2
334,actual,j,2
343,consistent,j,2
349,unique,j,2
386,waste,n,2
387,potential,n,2
427,previously,r,2
438,anxiety,n,2
539,barrier,n,2
608,acceptance,n,2
683,greatly,r,2
702,spectrum,n,2
790,obstacle,n,2
990,strive,v,2
1015,persistent,j,2
1222,continuum,n,2
1241,traumatic,j,2
1436,unsuccessful,j,2
2349,self-serving,j,2
1,study,n,1
6,however,r,1
7,research,n,1
13,use,n,1
30,low,j,1
33,value,n,1
39,society,n,1
45,significant,j,1
56,type,n,1
57,describe,v,1
65,identify,v,1
73,period,n,1
75,increase,v,1
89,represent,v,1
98,common,j,1
102,present,v,1
103,term,n,1
105,measure,n,1
107,movement,n,1
111,relate,v,1
112,individual,j,1
141,reflect,v,1
143,context,n,1
147,concept,n,1
154,define,v,1
159,apply,v,1
164,association,n,1
167,affect,v,1
176,achieve,v,1
183,observe,v,1
190,experience,v,1
192,element,n,1
197,perspective,n,1
201,belief,n,1
212,mean,n,1
218,interaction,n,1
226,obtain,v,1
227,potential,j,1
235,tool,n,1
236,promote,v,1
244,publish,v,1
248,view,v,1
254,increase,n,1
258,vision,n,1
259,female,j,1
260,attempt,n,1
275,contrast,n,1
281,user,n,1
285,male,j,1
286,mental,j,1
290,content,n,1
320,reference,n,1
321,initial,j,1
327,predict,v,1
332,frequently,r,1
340,desire,n,1
384,industrial,j,1
385,external,j,1
408,combination,n,1
425,depression,n,1
426,consideration,n,1
477,intellectual,j,1
479,passage,n,1
489,gain,n,1
526,norm,n,1
563,reflection,n,1
572,survival,n,1
576,encounter,v,1
583,rapid,j,1
590,communicate,v,1
591,valuable,j,1
595,trait,n,1
603,strengthen,v,1
610,stable,j,1
620,regardless,r,1
632,efficient,j,1
669,maintenance,n,1
675,circuit,n,1
686,motivate,v,1
738,access,v,1
799,label,v,1
802,random,j,1
806,ideal,n,1
834,adaptation,n,1
836,neutral,j,1
866,stem,v,1
882,solely,r,1
898,desirable,j,1
905,excessive,j,1
921,fragment,n,1
974,relevance,n,1
988,invention,n,1
991,skilled,j,1
1058,fundamentally,r,1
1075,pathway,n,1
1097,realization,n,1
1136,advancement,n,1
1204,refusal,n,1
1284,thereafter,r,1
1303,perpetuate,v,1
1383,sound,j,1
1400,adult,j,1
1401,finite,j,1
1418,specificity,n,1
1487,trade-off,n,1
1495,deterioration,n,1
1632,inefficient,j,1
1651,livelihood,n,1
1701,geometric,j,1
1714,innate,j,1
1833,expend,v,1
1919,verbally,r,1
2075,helplessness,n,1
2093,inaccessible,j,1
2107,intractable,j,1
2120,imperfection,n,1
2232,sustenance,n,1
2642,immutable,j,1
2750,firstly,r,1
2923,changeable,j,1
